<<<<<<< HEAD
Month,Total
2002-10,824984
2002-11,775709
2002-12,789620
2003-01,793293
2003-02,698464
2003-03,806128
2003-04,774640
2003-05,799861
2003-06,812510
2003-07,847914
2003-08,849077
2003-09,795755
2003-10,829580
2003-11,776009
2003-12,806701
2004-01,795360
2004-02,769947
2004-03,844241
2004-04,828140
2004-05,844989
2004-06,851512
2004-07,888249
2004-08,901772
2004-09,833464
2004-10,872598
2004-11,828575
2004-12,843323
2005-01,815089
2005-02,768557
2005-03,876180
2005-04,848404
2005-05,883909
2005-06,876897
2005-07,902616
2005-08,906554
2005-09,828225
2005-10,842507
2005-11,808501
2005-12,808705
2006-01,792581
2006-02,722845
2006-03,832669
2006-04,802489
2006-05,833390
2006-06,831234
2006-07,864465
2006-08,880440
2006-09,811984
2006-10,837088
2006-11,800217
2006-12,811310
2007-01,810640
2007-02,732160
2007-03,838914
2007-04,817787
2007-05,853347
2007-06,845253
2007-07,878150
2007-08,887682
2007-09,818055
2007-10,849817
2007-11,812722
2007-12,810520
2008-01,799697
2008-02,753712
2008-03,825224
2008-04,806818
2008-05,829222
2008-06,828039
2008-07,857912
2008-08,837935
2008-09,740364
2008-10,767398
2008-11,714528
2008-12,725949
2009-01,716937
2009-02,667292
2009-03,755772
2009-04,737627
2009-05,759497
2009-06,773014
2009-07,808904
2009-08,798006
2009-09,724488
2009-10,738381
2009-11,704582
2009-12,712365
2010-01,702867
2010-02,631363
2010-03,749630
2010-04,731721
2010-05,753763
2010-06,765436
2010-07,798813
2010-08,799094
2010-09,733875
2010-10,749822
2010-11,714897
2010-12,711031
2011-01,690134
2011-02,634373
2011-03,766201
2011-04,730108
2011-05,756600
2011-06,772894
2011-07,801745
2011-08,787552
2011-09,723829
2011-10,737013
2011-11,693565
2011-12,709558
2012-01,686723
2012-02,656752
2012-03,739796
2012-04,717550
2012-05,739373
2012-06,750616
2012-07,773899
2012-08,772208
2012-09,693424
2012-10,707326
2012-11,679848
2012-12,678351
2013-01,670484
2013-02,616521
2013-03,719269
2013-04,702752
2013-05,733311
2013-06,734271
2013-07,767885
2013-08,765428
2013-09,697871
2013-10,719596
2013-11,664920
2013-12,669833
2014-01,633080
2014-02,585863
2014-03,706276
2014-04,686333
2014-05,707130
2014-06,718495
2014-07,754317
2014-08,743806
2014-09,680553
2014-10,706025
2014-11,659366
2014-12,675234
2015-01,643318
2015-02,579701
2015-03,694014
2015-04,680243
2015-05,702404
2015-06,711573
2015-07,749397
2015-08,741260
2015-09,672803
2015-10,698048
2015-11,659494
2015-12,666651
2016-01,644770
2016-02,621336
2016-03,706698
2016-04,684225
2016-05,713538
2016-06,725740
2016-07,744785
2016-08,747399
2016-09,686697
2016-10,699667
2016-11,668097
2016-12,670236
2017-01,653245
2017-02,600655
2017-03,707610
2017-04,683024
2017-05,718000
2017-06,731524
2017-07,752799
2017-08,748120
2017-09,666012
=======
Period,Total
"October 2002","824984"
"November 2002","775709"
"December 2002","789620"
"January 2003","793293"
"February 2003","698464"
"March 2003","806128"
"April 2003","774640"
"May 2003","799861"
"June 2003","812510"
"July 2003","847914"
"August 2003","849077"
"September 2003","795755"
"October 2003","829580"
"November 2003","776009"
"December 2003","806701"
"January 2004","795360"
"February 2004","769947"
"March 2004","844241"
"April 2004","828140"
"May 2004","844989"
"June 2004","851512"
"July 2004","888249"
"August 2004","901772"
"September 2004","833464"
"October 2004","872598"
"November 2004","828575"
"December 2004","843323"
"January 2005","815089"
"February 2005","768557"
"March 2005","876180"
"April 2005","848404"
"May 2005","883909"
"June 2005","876897"
"July 2005","902616"
"August 2005","906554"
"September 2005","828225"
"October 2005","842507"
"November 2005","808501"
"December 2005","808705"
"January 2006","792581"
"February 2006","722845"
"March 2006","832669"
"April 2006","802489"
"May 2006","833390"
"June 2006","831234"
"July 2006","864465"
"August 2006","880440"
"September 2006","811984"
"October 2006","837088"
"November 2006","800217"
"December 2006","811310"
"January 2007","810640"
"February 2007","732160"
"March 2007","838914"
"April 2007","817787"
"May 2007","853347"
"June 2007","845253"
"July 2007","878150"
"August 2007","887682"
"September 2007","818055"
"October 2007","849817"
"November 2007","812722"
"December 2007","810520"
"January 2008","799697"
"February 2008","753712"
"March 2008","825224"
"April 2008","806818"
"May 2008","829222"
"June 2008","828039"
"July 2008","857912"
"August 2008","837935"
"September 2008","740364"
"October 2008","767398"
"November 2008","714528"
"December 2008","725949"
"January 2009","716937"
"February 2009","667292"
"March 2009","755772"
"April 2009","737627"
"May 2009","759497"
"June 2009","773014"
"July 2009","808904"
"August 2009","798006"
"September 2009","724488"
"October 2009","738381"
"November 2009","704582"
"December 2009","712365"
"January 2010","702867"
"February 2010","631363"
"March 2010","749630"
"April 2010","731721"
"May 2010","753763"
"June 2010","765436"
"July 2010","798813"
"August 2010","799094"
"September 2010","733875"
"October 2010","749822"
"November 2010","714897"
"December 2010","711031"
"January 2011","690134"
"February 2011","634373"
"March 2011","766201"
