<<<<<<< HEAD
Month,Total
2002-10,54005
2002-11,49180
2002-12,53352
2003-01,48270
2003-02,44724
2003-03,48119
2003-04,49749
2003-05,48857
2003-06,47570
2003-07,50278
2003-08,51276
2003-09,48146
2003-10,53567
2003-11,44591
2003-12,52260
2004-01,46244
2004-02,43901
2004-03,48150
2004-04,47713
2004-05,45957
2004-06,48216
2004-07,48277
2004-08,48514
2004-09,48361
2004-10,49200
2004-11,45924
2004-12,54292
2005-01,49457
2005-02,49245
2005-03,57776
2005-04,52991
2005-05,50670
2005-06,56004
2005-07,52452
2005-08,56404
2005-09,53512
2005-10,51840
2005-11,51954
2005-12,58730
2006-01,48899
2006-02,47832
2006-03,56319
2006-04,50083
2006-05,52013
2006-06,54560
2006-07,49330
2006-08,57451
2006-09,51647
2006-10,52469
2006-11,52587
2006-12,58270
2007-01,49940
2007-02,47920
2007-03,55104
2007-04,49023
2007-05,54435
2007-06,53147
2007-07,49355
2007-08,55897
2007-09,47964
2007-10,53728
2007-11,49729
2007-12,51782
2008-01,49189
2008-02,47944
2008-03,48226
2008-04,49919
2008-05,49361
2008-06,46624
2008-07,49297
2008-08,47857
2008-09,44362
2008-10,49341
2008-11,42004
2008-12,47100
2009-01,40091
2009-02,36730
2009-03,39219
2009-04,39930
2009-05,38496
2009-06,39276
2009-07,40825
2009-08,38366
2009-09,38719
2009-10,41185
2009-11,35723
2009-12,44931
2010-01,36056
2010-02,35391
2010-03,39429
2010-04,39481
2010-05,38418
2010-06,40444
2010-07,40712
2010-08,39781
2010-09,38897
2010-10,39711
2010-11,37613
2010-12,47119
2011-01,36256
2011-02,35749
2011-03,42076
2011-04,38761
2011-05,37617
2011-06,41159
2011-07,38298
2011-08,40769
2011-09,38502
2011-10,37295
2011-11,37948
2011-12,45001
2012-01,35191
2012-02,36830
2012-03,40270
2012-04,36322
2012-05,39703
2012-06,39062
2012-07,36714
2012-08,40974
2012-09,35113
2012-10,39873
2012-11,38650
2012-12,41424
2013-01,37638
2013-02,34778
2013-03,37652
2013-04,37114
2013-05,39344
2013-06,37169
2013-07,37627
2013-08,40278
2013-09,34143
2013-10,41276
2013-11,36621
2013-12,43104
2014-01,38296
2014-02,35448
2014-03,37568
2014-04,39166
2014-05,39756
2014-06,37744
2014-07,40558
2014-08,39655
2014-09,36926
2014-10,41986
2014-11,37112
2014-12,48196
2015-01,38161
2015-02,36077
2015-03,38595
2015-04,39788
2015-05,38958
2015-06,39722
2015-07,41053
2015-08,39229
2015-09,40242
2015-10,42734
2015-11,37490
2015-12,51376
2016-01,39282
2016-02,38155
2016-03,43969
2016-04,41089
2016-05,39665
2016-06,42903
2016-07,40740
2016-08,43453
2016-09,41872
2016-10,41537
2016-11,43042
2016-12,52025
2017-01,39647
2017-02,38480
2017-03,45158
2017-04,40843
2017-05,43579
2017-06,45253
2017-07,41726
2017-08,47288
2017-09,42871
=======
Period,Total
"October 2002","54005"
"November 2002","49180"
"December 2002","53352"
"January 2003","48270"
"February 2003","44724"
"March 2003","48119"
"April 2003","49749"
"May 2003","48857"
"June 2003","47570"
"July 2003","50278"
"August 2003","51276"
"September 2003","48146"
"October 2003","53567"
"November 2003","44591"
"December 2003","52260"
"January 2004","46244"
